Fresh feed flow,Ambient temperature,Feed temperature,Reactor pressure,Regenerator pressure,Furnace temperature,Reactor feed temperature,Regenerator temperature,Catalyst level,Stack gas temperature,Stack gas CO content (ppm),regenerature temperature controller valve opening,Reactor feed temperature controller valve opening,Reactor temperature controller valve opening,Ampearage combustion air blower,Ampearage wet gas blower,Furnace fuel flowrate,Combustion air flowrate,LPG flowrate,Light cycle oil flowrate,Reflux flowrate,Overhead fractionator temperature,Fractionator temperature controller valve opening
165,75.014,460.9,34.4,28,1564.1,616,1250,29.684,1255.3,29880,24.639,57.934,45.302,277.72,198.71,1990.5,3734.7,2933.9,1643.4,2945.5,310.71,49.53
165.06,75.043,460.75,34.4,28,1565.3,615.99,1250,29.673,1255.3,29881,24.641,58.025,45.312,277.75,198.75,1993.6,3734.8,2934.7,1643.3,2945.8,310.72,49.532
165.02,75.045,460.88,34.4,28,1564.3,616,1250,29.679,1255.3,29883,24.643,57.95,45.306,277.76,198.76,1991.1,3734.9,2934.8,1643.3,2946,310.73,49.535
164.96,75.044,460.77,34.4,28,1564.6,616,1250,29.688,1255.3,29883,24.641,57.973,45.298,277.76,198.76,1991.8,3734.8,2934.8,1643.3,2946.1,310.73,49.536
164.92,75.049,460.84,34.4,28,1563.9,616,1250,29.696,1255.3,29883,24.639,57.927,45.291,277.75,198.77,1990.2,3734.5,2934.9,1643.3,2946.1,310.74,49.536
164.9,75.059,461,34.4,28,1562.9,616.01,1250,29.7,1255.3,29881,24.635,57.847,45.285,277.74,198.78,1987.5,3734.2,2935.1,1643.4,2946.1,310.74,49.535
164.87,75.069,461.07,34.4,28,1562.3,616.01,1250,29.703,1255.3,29879,24.631,57.807,45.281,277.72,198.78,1986.1,3733.7,2935.2,1643.6,2946,310.75,49.532
164.89,75.089,461,34.4,28,1562.8,616,1250,29.698,1255.3,29877,24.627,57.841,45.283,277.72,198.8,1987.3,3733.3,2935.5,1643.7,2945.8,310.75,49.528
164.88,75.104,461.09,34.4,28,1562.2,616,1250,29.696,1255.3,29876,24.623,57.802,45.283,277.71,198.81,1986,3733,2935.6,1643.9,2945.5,310.76,49.522
164.92,75.128,461.13,34.4,28,1562.2,616,1250,29.686,1255.3,29876,24.621,57.797,45.289,277.72,198.83,1985.8,3732.7,2936,1644,2945.2,310.77,49.516
164.88,75.133,461.12,34.4,28,1562,616,1250,29.688,1255.3,29877,24.618,57.785,45.285,277.71,198.82,1985.4,3732.4,2935.9,1644,2944.8,310.77,49.508
164.93,75.159,460.93,34.4,28,1563.4,615.99,1250,29.677,1255.3,29878,24.617,57.89,45.293,277.72,198.85,1989,3732.2,2936.3,1644,2944.5,310.78,49.502
164.86,75.155,460.9,34.4,28,1563.2,616,1250,29.684,1255.3,29879,24.613,57.874,45.285,277.71,198.83,1988.4,3731.9,2936,1644,2944.1,310.78,49.494
164.91,75.183,460.81,34.4,28,1564,615.99,1250,29.672,1255.3,29881,24.612,57.934,45.293,277.72,198.86,1990.5,3731.7,2936.5,1644,2943.8,310.79,49.488
164.9,75.195,460.89,34.4,28,1563.5,616,1250,29.669,1255.3,29883,24.61,57.897,45.294,277.72,198.86,1989.2,3731.6,2936.6,1643.9,2943.5,310.79,49.482
164.91,75.213,460.88,34.4,28,1563.6,616,1250,29.662,1255.3,29886,24.61,57.905,45.299,277.73,198.88,1989.5,3731.4,2936.8,1643.7,2943.2,310.8,49.476
164.82,75.203,460.95,34.4,28,1562.7,616.01,1250,29.673,1255.3,29888,24.606,57.835,45.286,277.71,198.85,1987.1,3731.1,2936.4,1643.5,2942.9,310.8,49.47
164.76,75.205,460.84,34.4,28,1563,616,1250,29.679,1255.3,29889,24.6,57.86,45.279,277.68,198.84,1987.9,3730.6,2936,1643.3,2942.4,310.79,49.462
